2016/1/10 14:55:15: 任务号:0,1; 低位指令代码:128; 高位指令代码:0; 函数模式:5; 堆垛机模式:0; 动作点:16; 巷道:1; 行:3; 列:6; 列前后:15; 高度:3; 深度:0
2016/1/10 14:55:22: 任务号:0,2; 低位指令代码:1; 高位指令代码:15; 函数模式:1; 堆垛机模式:15; 动作点:0; 巷道:0; 行:0; 列:1; 列前后:128; 高度:5; 深度:83
2016/1/10 14:55:25: 任务号:3,6; 低位指令代码:15; 高位指令代码:0; 函数模式:3; 堆垛机模式:0; 动作点:7; 巷道:0; 行:0; 列:0; 列前后:0; 高度:0; 深度:18
2016/1/10 14:55:31: 任务号:0,1; 低位指令代码:128; 高位指令代码:0; 函数模式:5; 堆垛机模式:0; 动作点:16; 巷道:1; 行:3; 列:6; 列前后:15; 高度:3; 深度:0
2016/1/10 14:55:38: 任务号:0,2; 低位指令代码:1; 高位指令代码:15; 函数模式:1; 堆垛机模式:15; 动作点:0; 巷道:0; 行:0; 列:1; 列前后:128; 高度:5; 深度:83
2016/1/10 14:55:41: 任务号:3,6; 低位指令代码:15; 高位指令代码:0; 函数模式:3; 堆垛机模式:0; 动作点:7; 巷道:0; 行:0; 列:0; 列前后:0; 高度:0; 深度:18
2016/1/10 14:55:47: 任务号:0,1; 低位指令代码:128; 高位指令代码:0; 函数模式:5; 堆垛机模式:0; 动作点:16; 巷道:1; 行:3; 列:6; 列前后:15; 高度:3; 深度:0
2016/1/10 14:55:53: 任务号:0,2; 低位指令代码:1; 高位指令代码:15; 函数模式:1; 堆垛机模式:15; 动作点:0; 巷道:0; 行:0; 列:1; 列前后:128; 高度:5; 深度:83
2016/1/10 14:55:57: 任务号:3,6; 低位指令代码:15; 高位指令代码:0; 函数模式:3; 堆垛机模式:0; 动作点:7; 巷道:0; 行:0; 列:0; 列前后:0; 高度:0; 深度:18
2016/1/10 15:31:39: 任务号:0,1; 低位指令代码:128; 高位指令代码:0; 函数模式:5; 堆垛机模式:0; 动作点:16; 巷道:1; 行:3; 列:6; 列前后:15; 高度:3; 深度:0
2016/1/10 15:39:18: 任务号:0,2; 低位指令代码:1; 高位指令代码:15; 函数模式:1; 堆垛机模式:15; 动作点:0; 巷道:0; 行:0; 列:1; 列前后:128; 高度:5; 深度:83
2016/1/10 15:39:21: 任务号:3,6; 低位指令代码:15; 高位指令代码:0; 函数模式:3; 堆垛机模式:0; 动作点:7; 巷道:0; 行:0; 列:0; 列前后:0; 高度:0; 深度:18
2016/1/10 15:39:27: 任务号:0,1; 低位指令代码:128; 高位指令代码:0; 函数模式:5; 堆垛机模式:0; 动作点:16; 巷道:1; 行:3; 列:6; 列前后:15; 高度:3; 深度:0
2016/1/10 15:39:34: 任务号:0,2; 低位指令代码:1; 高位指令代码:15; 函数模式:1; 堆垛机模式:15; 动作点:0; 巷道:0; 行:0; 列:1; 列前后:128; 高度:5; 深度:83
2016/1/10 15:39:38: 任务号:3,6; 低位指令代码:15; 高位指令代码:0; 函数模式:3; 堆垛机模式:0; 动作点:7; 巷道:0; 行:0; 列:0; 列前后:0; 高度:0; 深度:18
2016/1/10 15:39:44: 任务号:0,1; 低位指令代码:128; 高位指令代码:0; 函数模式:5; 堆垛机模式:0; 动作点:16; 巷道:1; 行:3; 列:6; 列前后:15; 高度:3; 深度:0
2016/1/10 15:39:50: 任务号:0,2; 低位指令代码:1; 高位指令代码:15; 函数模式:1; 堆垛机模式:15; 动作点:0; 巷道:0; 行:0; 列:1; 列前后:128; 高度:5; 深度:83
2016/1/10 15:39:53: 任务号:3,6; 低位指令代码:15; 高位指令代码:0; 函数模式:3; 堆垛机模式:0; 动作点:7; 巷道:0; 行:0; 列:0; 列前后:0; 高度:0; 深度:18
2016/1/10 15:40:00: 任务号:0,1; 低位指令代码:128; 高位指令代码:0; 函数模式:5; 堆垛机模式:0; 动作点:16; 巷道:1; 行:3; 列:6; 列前后:15; 高度:3; 深度:0
2016/1/10 15:40:06: 任务号:0,2; 低位指令代码:1; 高位指令代码:15; 函数模式:1; 堆垛机模式:15; 动作点:0; 巷道:0; 行:0; 列:1; 列前后:128; 高度:5; 深度:83
2016/1/10 15:40:09: 任务号:3,6; 低位指令代码:15; 高位指令代码:0; 函数模式:3; 堆垛机模式:0; 动作点:7; 巷道:0; 行:0; 列:0; 列前后:0; 高度:0; 深度:18
2016/1/10 15:40:15: 任务号:0,1; 低位指令代码:128; 高位指令代码:0; 函数模式:5; 堆垛机模式:0; 动作点:16; 巷道:1; 行:3; 列:6; 列前后:15; 高度:3; 深度:0
2016/1/10 15:40:58: 任务号:0,2; 低位指令代码:1; 高位指令代码:15; 函数模式:1; 堆垛机模式:15; 动作点:0; 巷道:0; 行:0; 列:1; 列前后:128; 高度:5; 深度:83
2016/1/10 15:41:01: 任务号:3,6; 低位指令代码:15; 高位指令代码:0; 函数模式:3; 堆垛机模式:0; 动作点:7; 巷道:0; 行:0; 列:0; 列前后:0; 高度:0; 深度:18
2016/1/10 15:41:07: 任务号:0,1; 低位指令代码:128; 高位指令代码:0; 函数模式:5; 堆垛机模式:0; 动作点:16; 巷道:1; 行:3; 列:6; 列前后:15; 高度:3; 深度:0
2016/1/10 15:41:14: 任务号:0,2; 低位指令代码:1; 高位指令代码:15; 函数模式:1; 堆垛机模式:15; 动作点:0; 巷道:0; 行:0; 列:1; 列前后:128; 高度:5; 深度:83
2016/1/10 15:41:17: 任务号:3,6; 低位指令代码:15; 高位指令代码:0; 函数模式:3; 堆垛机模式:0; 动作点:7; 巷道:0; 行:0; 列:0; 列前后:0; 高度:0; 深度:18
2016/1/10 15:41:23: 任务号:0,1; 低位指令代码:128; 高位指令代码:0; 函数模式:5; 堆垛机模式:0; 动作点:16; 巷道:1; 行:3; 列:6; 列前后:15; 高度:3; 深度:0
2016/1/10 15:44:49: 任务号:0,1; 低位指令代码:128; 高位指令代码:0; 函数模式:0; 堆垛机模式:0; 动作点:16; 巷道:1; 行:3; 列:6; 列前后:15; 高度:3; 深度:0
2016/1/10 15:48:18: 任务号:0,1; 低位指令代码:128; 高位指令代码:0; 函数模式:0; 堆垛机模式:0; 动作点:16; 巷道:1; 行:3; 列:6; 列前后:15; 高度:3; 深度:0
2016/1/10 15:51:41: 任务号:0,1; 低位指令代码:128; 高位指令代码:0; 函数模式:0; 堆垛机模式:0; 动作点:16; 巷道:1; 行:3; 列:6; 列前后:15; 高度:3; 深度:0
2016/1/10 15:52:41: 任务号:0,2; 低位指令代码:1; 高位指令代码:15; 函数模式:1; 堆垛机模式:15; 动作点:0; 巷道:0; 行:0; 列:1; 列前后:128; 高度:0; 深度:83
2016/1/10 15:52:46: 任务号:3,6; 低位指令代码:15; 高位指令代码:0; 函数模式:3; 堆垛机模式:0; 动作点:7; 巷道:0; 行:0; 列:0; 列前后:0; 高度:0; 深度:18
2016/1/10 15:52:52: 任务号:0,1; 低位指令代码:128; 高位指令代码:0; 函数模式:0; 堆垛机模式:0; 动作点:16; 巷道:1; 行:3; 列:6; 列前后:15; 高度:3; 深度:0
2016/1/10 15:52:58: 任务号:0,2; 低位指令代码:1; 高位指令代码:15; 函数模式:1; 堆垛机模式:15; 动作点:0; 巷道:0; 行:0; 列:1; 列前后:128; 高度:0; 深度:83
2016/1/10 15:53:09: 任务号:3,6; 低位指令代码:15; 高位指令代码:0; 函数模式:3; 堆垛机模式:0; 动作点:7; 巷道:0; 行:0; 列:0; 列前后:0; 高度:0; 深度:18
2016/1/10 15:53:15: 任务号:0,1; 低位指令代码:128; 高位指令代码:0; 函数模式:0; 堆垛机模式:0; 动作点:16; 巷道:1; 行:3; 列:6; 列前后:15; 高度:3; 深度:0
2016/1/10 15:53:21: 任务号:0,2; 低位指令代码:1; 高位指令代码:15; 函数模式:1; 堆垛机模式:15; 动作点:0; 巷道:0; 行:0; 列:1; 列前后:128; 高度:0; 深度:83
2016/1/10 15:53:24: 任务号:3,6; 低位指令代码:15; 高位指令代码:0; 函数模式:3; 堆垛机模式:0; 动作点:7; 巷道:0; 行:0; 列:0; 列前后:0; 高度:0; 深度:18
2016/1/10 16:00:57: 任务号:0,1; 低位指令代码:128; 高位指令代码:0; 函数模式:5; 堆垛机模式:0; 动作点:16; 巷道:1; 行:3; 列:6; 列前后:15; 高度:3; 深度:0
2016/1/10 16:04:28: 任务号:0,1; 低位指令代码:128; 高位指令代码:0; 函数模式:5; 堆垛机模式:0; 动作点:16; 巷道:1; 行:3; 列:6; 列前后:15; 高度:3; 深度:0
2016/1/10 16:05:33: 任务号:0,1; 低位指令代码:128; 高位指令代码:0; 函数模式:5; 堆垛机模式:0; 动作点:16; 巷道:1; 行:3; 列:6; 列前后:15; 高度:3; 深度:0
2016/1/10 16:08:38: 任务号:0,2; 低位指令代码:1; 高位指令代码:15; 函数模式:2; 堆垛机模式:15; 动作点:0; 巷道:0; 行:0; 列:1; 列前后:128; 高度:5; 深度:83
