2015/12/12 13:30:06: Break:  连接失败！
2015/12/12 13:30:26: Break:  连接失败！
2015/12/12 13:30:46: Break:  连接失败！
2015/12/12 13:31:06: Break:  连接失败！
2015/12/12 13:31:26: Break:  连接失败！
2015/12/12 13:31:46: Break:  连接失败！
2015/12/12 13:32:06: Break:  连接失败！
2015/12/12 13:32:26: Break:  连接失败！
2015/12/12 13:32:46: Break:  连接失败！
2015/12/12 13:33:06: Break:  连接失败！
2015/12/12 13:33:26: Break:  连接失败！
2015/12/12 13:33:46: Break:  连接失败！
2015/12/12 13:34:06: Break:  连接失败！
2015/12/12 13:34:26: Break:  连接失败！
2015/12/12 13:34:46: Break:  连接失败！
2015/12/12 13:35:06: Break:  连接失败！
2015/12/12 13:35:26: Break:  连接失败！
2015/12/12 13:35:46: Break:  连接失败！
2015/12/12 13:36:06: Break:  连接失败！
2015/12/12 13:36:26: Break:  连接失败！
2015/12/12 13:36:46: Break:  连接失败！
2015/12/12 13:37:06: Break:  连接失败！
2015/12/12 13:37:26: Break:  连接失败！
2015/12/12 13:37:46: Break:  连接失败！
2015/12/12 13:38:06: Break:  连接失败！
2015/12/12 13:38:26: Break:  连接失败！
2015/12/12 13:38:46: Break:  连接失败！
2015/12/12 13:39:06: Break:  连接失败！
2015/12/12 13:39:26: Break:  连接失败！
2015/12/12 13:39:46: Break:  连接失败！
2015/12/12 13:40:06: Break:  连接失败！
2015/12/12 13:40:26: Break:  连接失败！
2015/12/12 13:40:46: Break:  连接失败！
2015/12/12 13:41:07: Break:  连接失败！
2015/12/12 13:41:27: Break:  连接失败！
2015/12/12 13:41:47: Break:  连接失败！
2015/12/12 13:42:07: Break:  连接失败！
2015/12/12 13:42:27: Break:  连接失败！
2015/12/12 13:42:47: Break:  连接失败！
2015/12/12 13:55:38: 任务号:0,2; 低位指令代码:1; 高位指令代码:0; 函数模式:1; 堆垛机模式:0; 动作点:16; 巷道:1; 行:3; 列:6; 列前后:15; 高度:3; 深度:0
2015/12/12 14:03:12: 任务号:0,2; 低位指令代码:1; 高位指令代码:0; 函数模式:1; 堆垛机模式:0; 动作点:16; 巷道:1; 行:3; 列:6; 列前后:15; 高度:3; 深度:0
2015/12/12 14:12:46: 任务号:0,1; 低位指令代码:128; 高位指令代码:0; 函数模式:0; 堆垛机模式:0; 动作点:16; 巷道:1; 行:3; 列:6; 列前后:15; 高度:3; 深度:0
2015/12/12 14:41:47: 任务号:0,2; 低位指令代码:1; 高位指令代码:0; 函数模式:1; 堆垛机模式:0; 动作点:16; 巷道:1; 行:3; 列:6; 列前后:15; 高度:3; 深度:0
2015/12/12 14:59:24: 任务号:39,19; 低位指令代码:113; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:5; 行:0; 列:2; 列前后:3; 高度:1; 深度:0
2015/12/12 14:59:27: 任务号:39,19; 低位指令代码:113; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:5; 行:0; 列:2; 列前后:1; 高度:1; 深度:0
2015/12/12 14:59:31: 任务号:39,19; 低位指令代码:114; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:6; 巷道:5; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/12/12 14:59:51: 任务号:39,19; 低位指令代码:114; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:6; 巷道:5; 行:1; 列:1; 列前后:1; 高度:1; 深度:1
2015/12/12 14:59:54: 任务号:39,19; 低位指令代码:114; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:6; 巷道:5; 行:1; 列:1; 列前后:1; 高度:1; 深度:2
2015/12/12 15:00:04: 任务号:39,19; 低位指令代码:114; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:6; 巷道:5; 行:1; 列:1; 列前后:1; 高度:1; 深度:1
2015/12/12 15:00:07: 任务号:39,19; 低位指令代码:121; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:6; 巷道:5; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
